app_id,app_type,developer,publisher,release_date
730,Game,Valve,Valve,21 August 2012
2923300,Game,"Pony, Sky, AestheticSpartan, O'Brian",Sky,23 April 2024
570,Game,Valve,Valve,9 July 2013
2139460,Game,Starry Studio,Starry Studio,9 July 2024
271590,Game,Rockstar North,Rockstar Games,13 April 2015
1938090,Game,"Sledgehammer Games, Treyarch, Infinity Ward, Beenox, Raven Software, High Moon Studios, Demonware",Activision,28 October 2022
1086940,Game,Larian Studios,Larian Studios,3 August 2023
431960,Application,Wallpaper Engine Team,Wallpaper Engine Team,16 November 2018
252490,Game,Facepunch Studios,Facepunch Studios,8 February 2018
238960,Game,Grinding Gear Games,Grinding Gear Games,23 October 2013
251570,Game,The Fun Pimps,The Fun Pimps Entertainment LLC,25 July 2024
440,Game,Valve,Valve,10 October 2007
2074920,Game,"NEXON Games Co., Ltd.",NEXON,30 June 2024
1085660,Game,Bungie,Bungie,1 October 2019
230410,Game,Digital Extremes,Digital Extremes,25 March 2013
39210,Game,Square Enix,Square Enix,18 February 2014
553850,Game,Arrowhead Game Studios,PlayStation Publishing LLC,8 February 2024
2357570,Game,"Blizzard Entertainment, Inc.","Blizzard Entertainment, Inc.",10 August 2023
438100,Game,VRChat Inc.,VRChat Inc.,1 February 2017
105600,Game,Re-Logic,Re-Logic,16 May 2011
1222670,Game,Maxis,Electronic Arts,18 June 2020
436150,Game,Playtika Ltd.,Playtika Ltd.,19 February 2016
582010,Game,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",9 August 2018
394360,Game,Paradox Development Studio,Paradox Interactive,6 June 2016
1281930,Game,TML Team,"Re-Logic, TML Team",16 May 2020
221100,Game,Bohemia Interactive,Bohemia Interactive,13 December 2018
108600,Game,The Indie Stone,The Indie Stone,8 November 2013
1174180,Game,Rockstar Games,Rockstar Games,5 December 2019
3132990,Tool,Game Science,Game Science,13 August 2024
489830,Game,Bethesda Game Studios,Bethesda Softworks,28 October 2016
304930,Game,Smartly Dressed Games,Smartly Dressed Games,7 July 2017
377160,Game,Bethesda Game Studios,Bethesda Softworks,10 November 2015
346110,Game,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard, Snail Games USA",29 August 2017
252950,Game,Psyonix LLC,Psyonix LLC,7 July 2015
1782210,Game,Dani,Dani,29 October 2021
2016590,Game,IRONMACE,IRONMACE,7 June 2024
739630,Game,Kinetic Games,Kinetic Games,18 September 2020
4000,Game,Facepunch Studios,Valve,29 November 2006
1623660,Game,Wemade Next,Wemade,25 August 2021
275850,Game,Hello Games,Hello Games,12 August 2016
2977660,Game,100 Cozy Games,100 Cozy Games,21 May 2024
960090,Game,Ninja Kiwi,Ninja Kiwi,18 December 2018
1142710,Game,"CREATIVE ASSEMBLY, Feral Interactive","SEGA, Feral Interactive",17 February 2022
261550,Game,TaleWorlds Entertainment,TaleWorlds Entertainment,25 October 2022
813780,Game,"Forgotten Empires, Tantalus Media, Wicked Witch, World's Edge",Xbox Game Studios,14 November 2019
1238810,Game,DICE,Electronic Arts,11 June 2020
548430,Game,Ghost Ship Games,Coffee Stain Publishing,13 May 2020
1158310,Game,Paradox Development Studio,Paradox Interactive,1 September 2020
8930,Game,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",21 September 2010
2448970,Game,Mithril Interactive,Mithril Interactive,19 July 2024
1454400,Game,"Orteil, DashNet",Playsaurus,1 September 2021
322170,Game,RobTop Games,RobTop Games,22 December 2014
311210,Game,"Treyarch, Aspyr (Mac)","Activision, Aspyr (Mac)",6 November 2015
1313140,Game,Massive Monster,Devolver Digital,11 August 2022
582660,Game,Pearl Abyss,Pearl Abyss,24 May 2017
1151340,Game,Bethesda Game Studios,Bethesda Softworks,14 April 2020
